Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
<built-in method builtins.exec>,19,1,0.000089,20.686095,0.000005,1.088742,~:0
main,1,1,0.002752,20.682518,0.002752,20.682518,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/profile_example.py:14
detect_adobe_pattern,2,2,0.022100,20.340383,0.011050,10.170191,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/detectAdobe.py:66
test_statistic,2,2,0.181876,20.317769,0.090938,10.158885,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/detectAdobe.py:40
extract_single,2,2,0.070555,19.743271,0.035277,9.871635,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:28
noise_extract,2,2,0.350232,12.635670,0.175116,6.317835,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:51
wiener_adaptive,74,74,1.689190,11.334350,0.022827,0.153167,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:316
wiener_dft,2,2,0.549223,6.799228,0.274612,3.399614,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:208
uniform_filter,296,296,0.001734,4.267097,0.000006,0.014416,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/ndimage/_filters.py:1119
uniform_filter1d,592,592,0.001409,4.114055,0.000002,0.006949,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/ndimage/_filters.py:1068
<built-in method scipy.ndimage._nd_image.uniform_filter1d>,592,592,4.111282,4.111282,0.006945,0.006945,~:0
threshold,74,74,3.070886,3.070886,0.041498,0.041498,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:305
wavedec2,6,6,0.002891,2.970322,0.000482,0.495054,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:179
dwt2,24,24,0.007136,2.966983,0.000297,0.123624,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:22
dwtn,24,24,2.958787,2.959111,0.123283,0.123296,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:119
waverec2,6,6,0.006740,2.324018,0.001123,0.387336,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multilevel.py:256
<method 'reduce' of 'numpy.ufunc' objects>,151,151,2.322816,2.322816,0.015383,0.015383,~:0
idwt2,24,24,0.022067,2.317086,0.000919,0.096545,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:75
idwtn,24,24,2.293437,2.295017,0.095560,0.095626,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/pywt/_multidim.py:219
min,81,81,0.000245,2.227732,0.000003,0.027503,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3190
_wrapreduction,82,82,0.000483,2.227493,0.000006,0.027165,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69
_raw_fftnd,4,4,0.020000,1.691419,0.005000,0.422855,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:735
_raw_fft,8,8,1.671203,1.671211,0.208900,0.208901,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:51
fft2,2,2,0.000009,1.016529,0.000004,0.508265,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:1013
fft,4,4,0.000018,1.012272,0.000004,0.253068,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:113
ifft2,2,2,0.000006,0.674904,0.000003,0.337452,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:1138
ifft,4,4,0.000013,0.658973,0.000003,0.164743,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/fft/_pocketfft.py:213
<built-in method numpy.array>,26,26,0.030237,0.643474,0.001163,0.024749,~:0
__array_interface__,4,4,0.031395,0.613229,0.007849,0.153307,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:738
tobytes,4,4,0.001158,0.581758,0.000289,0.145440,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/Image.py:766
load,4,4,0.004713,0.485545,0.001178,0.121386,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageFile.py:186
<method 'decode' of 'ImagingDecoder' objects>,524,524,0.466295,0.466295,0.000890,0.000890,~:0
<built-in method numpy.zeros>,374,374,0.219201,0.219201,0.000586,0.000586,~:0
_get_output,888,888,0.001884,0.150844,0.000002,0.000170,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/scipy/ndimage/_ni_support.py:78
zero_mean_total,2,2,0.030981,0.146480,0.015490,0.073240,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:268
<method 'astype' of 'numpy.ndarray' objects>,10,10,0.144136,0.144136,0.014414,0.014414,~:0
zero_mean,8,8,0.075256,0.115499,0.009407,0.014437,/Users/charliecameron/CodingHub/CGC_Solutions/AdobeProject/adobe-detector/prnu/functions.py:234
_wrapfunc,8,8,0.000038,0.102160,0.000005,0.012770,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51
nonzero,2,2,0.000005,0.102056,0.000003,0.051028,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2018
<method 'nonzero' of 'numpy.ndarray' objects>,2,2,0.102035,0.102035,0.051017,0.051017,~:0
_std,6,6,0.005017,0.090899,0.000836,0.015150,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:221
_var,6,6,0.049764,0.085881,0.008294,0.014314,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:151
<method 'encode' of 'ImagingEncoder' objects>,5336,5336,0.064783,0.064783,0.000012,0.000012,~:0
_mean,40,40,0.000558,0.060529,0.000014,0.001513,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/_methods.py:118
